Name,Duration,AvgSize
jp2_0.500000,16.234375,181521.192629816
jp2_0.250000,4.203125,100274.56281407
jp2_0.125000,3.625,53494.8157453936
jp2_0.062500,4.75,27697.0067001675
jp2_0.031250,7.609375,13682.1993299833
jp2_0.015625,8.109375,6380.70184254606
jp2_0.007813,4.171875,3080.52093802345
jp2_0.003906,3.71875,1369.72194304858
jp2_0.001953,4.046875,690.763819095477
jp2_0.000977,3.796875,366.112227805695
jp2_0.000488,3.484375,222.21608040201
jp2_0.000244,3.421875,211.708542713568
jp2_0.000122,5.171875,211.708542713568
